domain	crop	chosen_width	score_8192	score_10240	score_12288	score_14336	score_16384
code	86	10240	4.348525	0.982006	2.215176	2.261582	4.749491
code	87	10240	5.172602	2.69998	4.75779	4.471221	5.187542
code	88	10240	5.138588	1.602556	3.247043	3.503402	4.817243
code	89	10240	5.097459	0.667326	1.623383	1.585196	2.173873
code	90	10240	5.615023	1.393966	2.960402	2.820808	4.567238
code	91	10240	2.109138	1.785911	2.811796	2.064459	3.694275
code	92	10240	5.648025	1.925245	3.798497	3.554064	5.559384
code	93	10240	4.328622	1.712775	3.037272	3.221811	4.27864
code	94	10240	6.694348	0.465569	1.077463	1.69062	4.528946
code	95	10240	4.289207	1.709337	3.866385	3.696513	4.634656
code	96	10240	4.861969	2.197099	3.41777	3.389461	4.619606
code	97	10240	4.353141	2.005017	4.142635	3.710782	4.758568
code	98	10240	4.346618	1.447628	2.965925	3.194031	4.782264
code	99	10240	5.03915	1.589164	3.37121	3.453644	4.806364
code	100	10240	4.807175	1.716644	4.711472	3.330566	3.919907
code	101	10240	4.364897	3.001135	4.979397	4.028716	4.928864
code	102	10240	4.929298	2.143454	4.252213	3.955537	4.965641
code	103	10240	5.555203	1.386566	2.694133	3.107697	4.466878
code	104	10240	4.133648	1.158874	2.187904	2.240824	4.306797
code	105	10240	2.088382	1.035333	1.947029	1.452409	3.381049
code	106	10240	4.670821	1.573503	3.89565	3.448823	4.49397
code	107	10240	2.694817	1.993693	2.293413	2.493968	2.800652
code	108	10240	3.271083	1.212395	2.318916	2.329567	3.751629
code	109	10240	5.046391	3.253563	5.388434	4.568985	5.384933
code	110	10240	4.101336	1.379334	3.442572	2.747271	4.393909
code	111	10240	4.62194	3.023793	5.465568	4.469253	5.338385
code	112	10240	4.562069	1.673605	3.179268	3.029111	4.919592
code	113	10240	4.705424	2.008752	4.242646	3.734836	4.938774
code	114	10240	5.700391	0.306692	0.778437	1.364651	4.449643
code	115	10240	4.47225	1.849152	3.196985	3.073377	4.390751
code	116	10240	5.765963	1.591918	3.047045	2.990581	4.34108
code	117	10240	4.371481	2.502447	4.04787	3.728156	4.820365
code	118	10240	6.151611	4.713135	6.412766	6.136169	6.608917
code	119	10240	4.824242	2.046356	5.321411	3.794098	4.281799
code	120	10240	6.851238	0.345932	0.70261	1.237877	5.0611
code	121	10240	6.199686	0.561972	0.966902	1.509117	4.83374
code	122	10240	4.880066	2.021881	5.395409	3.604218	4.204834
code	123	10240	3.249665	1.423717	3.11258	2.487196	4.037914
code	124	10240	6.755744	0.729014	1.282415	1.54027	4.327492
code	125	10240	4.912148	0.45236	1.101274	1.355854	4.393578
code	126	10240	4.002805	1.913649	3.322372	3.081119	4.451376
code	127	10240	4.447252	1.168905	2.929294	2.977853	4.275521
code	128	10240	4.668293	1.675733	3.646554	3.504754	4.693602
code	129	10240	4.727211	1.664629	3.263366	3.227575	4.434346
code	130	10240	5.964504	0.668858	1.32053	1.8133	4.632629
code	131	10240	4.319468	1.505263	2.806902	3.02561	4.484105
code	132	10240	4.721983	2.080903	3.47214	3.551374	4.715187
code	133	10240	5.559009	1.468116	2.691354	2.589588	4.831171
code	134	10240	4.080412	1.1875	2.725235	2.683572	4.3636
code	135	10240	4.764102	3.049642	5.115381	4.313725	4.946075
code	136	10240	4.347447	1.576052	3.779052	3.191579	4.615793
code	137	10240	4.499008	1.118707	2.044512	2.211391	4.243607
code	138	10240	3.821802	1.037491	1.268971	1.543227	3.123489
code	139	10240	6.892052	0.428256	0.895473	1.578831	4.705887
code	140	10240	4.83023	1.330005	2.687207	2.475268	4.611642
code	141	10240	6.58612	0.824784	1.655458	2.311852	5.771904
